Date,GOOG_Sentiment_2_Predicted
2024-12-12,196.17
2024-12-13,201.54538985409883
2024-12-14,202.84670262731245
2024-12-15,201.14855612832665
2024-12-16,199.0347010420158
2024-12-17,200.0347955115137
2024-12-18,199.6277991449451
2024-12-19,201.09306817701417
2024-12-20,202.08493484967252
2024-12-21,201.9781755759481
2024-12-22,200.30823270841697
2024-12-23,197.31393065095787
2024-12-24,196.47235723422037
2024-12-25,198.19423860419997
2024-12-26,198.6581989179989
2024-12-27,196.2231683367702
2024-12-28,196.6022340700977
2024-12-29,197.39909709371898
2024-12-30,195.69385031448098
2024-12-31,196.0338196632687
2025-01-01,196.18713520134807
2025-01-02,193.98401194487212
2025-01-03,194.71685902309636
2025-01-04,195.84774441053275
2025-01-05,198.00804538998386
2025-01-06,200.13425984457572
2025-01-07,197.41709830387828
2025-01-08,195.60515474257144
2025-01-09,196.6517113049223
2025-01-10,197.70141051209637
2025-01-11,198.7592073348358
2025-01-12,206.45661774786768
2025-01-13,207.67655031083788
2025-01-14,210.0763891689423
2025-01-15,212.12253690413067
2025-01-16,213.54670905895293
2025-01-17,212.91617130416023
2025-01-18,214.57472274407237
2025-01-19,212.95935012723092
2025-01-20,212.49761463136247
2025-01-21,211.50872819286175
2025-01-22,211.72420088943517
2025-01-23,216.6672380832214
2025-01-24,212.66481961036015
2025-01-25,214.16678657019992
2025-01-26,210.75571816967948
2025-01-27,209.80324592029731
2025-01-28,212.12986026838735
2025-01-29,212.3086433551287
2025-01-30,210.06295976694727
2025-01-31,208.60238421590643
2025-02-01,210.06176180010496
2025-02-02,208.56955313827987
2025-02-03,209.06273376192806
2025-02-04,209.19982004300897
2025-02-05,207.8785132524266
2025-02-06,212.37688805292981
2025-02-07,213.76566092291498
2025-02-08,209.4793546200995
2025-02-09,209.91183378626386
2025-02-10,208.56464804907648
2025-02-11,210.38423556325705
2025-02-12,208.75897371313778
2025-02-13,208.56120289019913
2025-02-14,209.65612267426127
2025-02-15,211.5131626707442
2025-02-16,209.01668041129136
2025-02-17,208.35932036828413
2025-02-18,207.41139940990178
2025-02-19,206.09780238574865
2025-02-20,209.77758433757114
2025-02-21,210.6691007047015
2025-02-22,208.0549416373149
2025-02-23,210.0062097638983
2025-02-24,214.50487080046702
2025-02-25,216.76246004783204
2025-02-26,213.51238882441177
2025-02-27,212.52119156569816
2025-02-28,215.25615047434138
2025-03-01,213.77589965466294
2025-03-02,214.76743380995566
2025-03-03,216.4740489746859
2025-03-04,214.5107798614756
2025-03-05,214.42599371194441
2025-03-06,207.518759207883
2025-03-07,205.43446643694875
2025-03-08,204.95669129603192
2025-03-09,202.44026750998762
2025-03-10,205.7854133740321
2025-03-11,202.88354811023754
2025-03-12,202.03134695198528
2025-03-13,202.3358901706796
2025-03-14,205.29257048793787
2025-03-15,202.3859106832158
2025-03-16,204.78046741788833
2025-03-17,204.84237882155898
2025-03-18,202.87280162817729
2025-03-19,203.85085845316198
2025-03-20,204.2974135231134
2025-03-21,203.1120454502534
2025-03-22,203.29444430193357
2025-03-23,202.55178205523404
2025-03-24,202.82222381739328
2025-03-25,204.20573642079745
2025-03-26,207.48531488724893
2025-03-27,204.95852656476234
2025-03-28,209.3713520459054
2025-03-29,205.32611369733118
2025-03-30,205.05552448326227
2025-03-31,206.30291252154115
2025-04-01,206.92386751113148
2025-04-02,205.6767383552477
2025-04-03,205.28981464659236
2025-04-04,204.31879190455462
2025-04-05,203.1554727116359
2025-04-06,204.92211696254927
2025-04-07,205.69470507766547
2025-04-08,204.31056567025476
2025-04-09,206.18940537765536
2025-04-10,206.86426231355475
2025-04-11,208.58715639177998
2025-04-12,209.9421987202493
2025-04-13,208.2437768067824
2025-04-14,207.11888340708205
2025-04-15,208.7080933544673
2025-04-16,210.023727116527
2025-04-17,210.02183355528004
2025-04-18,210.31025104367862
2025-04-19,213.03937334371693
2025-04-20,211.8217012387291
2025-04-21,213.02293655920377
2025-04-22,212.63482442079396
2025-04-23,212.21448534139884
2025-04-24,214.58869187996214
2025-04-25,216.4028597641949
2025-04-26,218.2065984529104
2025-04-27,221.09888067121608
2025-04-28,221.18953970609834
2025-04-29,222.74218625225896
2025-04-30,222.09563973265915
2025-05-01,222.86001819496292
2025-05-02,222.6145533639586
2025-05-03,222.875003408881
2025-05-04,224.2460346502935
2025-05-05,222.45605642038396
2025-05-06,227.1551898501998
2025-05-07,224.9154001952982
2025-05-08,222.22948609776
2025-05-09,224.847595837601
2025-05-10,226.67259989128738
2025-05-11,228.13264302701447
2025-05-12,229.611730773246
2025-05-13,229.629533092303
2025-05-14,227.61509797502828
2025-05-15,227.8331636140255
2025-05-16,226.33593129662736
2025-05-17,228.58824481277495
2025-05-18,228.29780657449413
2025-05-19,226.45887414219777
2025-05-20,225.77635915836643
2025-05-21,226.7538160334813
2025-05-22,225.52089986128732
2025-05-23,223.71172520633513
2025-05-24,224.30162441631214
2025-05-25,224.89594873946922
2025-05-26,223.80083326539622
2025-05-27,222.79140577907629
2025-05-28,223.35295137778064
2025-05-29,220.16328285288242
2025-05-30,217.1085970588205
2025-05-31,215.5922146088209
2025-06-01,215.17515761034767
2025-06-02,215.88718848616776
2025-06-03,219.11547098079328
2025-06-04,221.03855899778063
2025-06-05,220.7292408876668
2025-06-06,220.73141240449513
2025-06-07,218.56266146064118
2025-06-08,218.5659111901885
2025-06-09,217.97871498804153
