Date,AAPL_Sentiment_2_Predicted
2024-12-12,246.46
2024-12-13,253.21342092797676
2024-12-14,254.84833730706748
2024-12-15,252.71485519390012
2024-12-16,250.0590937391814
2024-12-17,251.3155717070279
2024-12-18,250.8042380448752
2024-12-19,252.6451423913285
2024-12-20,253.89128329025993
2024-12-21,253.7571552859671
2024-12-22,251.6591070669136
2024-12-23,247.8971878892546
2024-12-24,246.83986931715324
2024-12-25,249.00317095575838
2024-12-26,249.58607180165168
2024-12-27,246.5267985333149
2024-12-28,247.00304128519284
2024-12-29,248.00418753998053
2024-12-30,245.8617849238262
2024-12-31,246.2889085701647
2025-01-01,246.48152796923205
2025-01-02,243.71361362049848
2025-01-03,244.63433284820476
2025-01-04,246.0551311995713
2025-01-05,248.7692453831647
2025-01-06,251.4405346449209
2025-01-07,248.02680352741925
2025-01-08,245.75035141894352
2025-01-09,247.0652024683241
2025-01-10,248.3840018086928
2025-01-11,249.7129746635246
2025-01-12,259.38368766956955
2025-01-13,260.91636126629504
2025-01-14,263.9314210866978
2025-01-15,266.5021177824949
2025-01-16,268.29138968583123
2025-01-17,267.4992077260708
2025-01-18,269.5829442193202
2025-01-19,267.5534558411444
2025-01-20,266.9733501659049
2025-01-21,265.7309535118146
2025-01-22,266.0016646337878
2025-01-23,272.2118952846547
2025-01-24,267.183419692967
2025-01-25,269.0704298215397
2025-01-26,264.7849023810938
2025-01-27,263.5882550314342
2025-01-28,266.5113185591411
2025-01-29,266.73593434931433
2025-01-30,263.9145489328735
2025-01-31,262.07954128486654
2025-02-01,263.91304385611375
2025-02-02,262.0382936558109
2025-02-03,262.6579057091541
2025-02-04,262.8301353305804
2025-02-05,261.1700992822196
2025-02-06,266.8216742087223
2025-02-07,268.56647189204057
2025-02-08,263.1813311906494
2025-02-09,263.7246804045601
2025-02-10,262.03213110146993
2025-02-11,264.3181867610761
2025-02-12,262.2762739528975
2025-02-13,262.02780274414255
2025-02-14,263.4034153759413
2025-02-15,265.7365248092552
2025-02-16,262.60004615469666
2025-02-17,261.77416576422127
2025-02-18,260.5832364712462
2025-02-19,258.9328866594871
2025-02-20,263.55601486383114
2025-02-21,264.6760797251399
2025-02-22,261.3917567208676
2025-02-23,263.8432505398906
2025-02-24,269.4951850817305
2025-02-25,272.3315282835737
2025-02-26,268.2482711406662
2025-02-27,267.0029712661566
2025-02-28,270.4390622720403
2025-03-01,268.5793354176897
2025-03-02,269.825058555343
2025-03-03,271.9691803553094
2025-03-04,269.50260898536595
2025-03-05,269.3960871195687
2025-03-06,260.718118949762
2025-03-07,258.09949838431135
2025-03-08,257.4992411521639
2025-03-09,254.33770877561054
2025-03-10,258.54041382557944
2025-03-11,254.8946284714743
2025-03-12,253.82395763769313
2025-03-13,254.20657333672662
2025-03-14,257.92122609194644
2025-03-15,254.26941707185262
2025-03-16,257.27784064746254
2025-03-17,257.35562361401537
2025-03-18,254.8811270290082
2025-03-19,256.10991779765646
2025-03-20,256.6709514039175
2025-03-21,255.18170322510795
2025-03-22,255.4108617151171
2025-03-23,254.47781110941
2025-03-24,254.81758312705676
2025-03-25,256.5557720256396
2025-03-26,260.6761008671629
2025-03-27,257.5015469090651
2025-03-28,263.0456411542734
2025-03-29,257.96336841435595
2025-03-30,257.6234111441341
2025-03-31,259.19057868205635
2025-04-01,259.9707212458247
2025-04-02,258.403878957202
2025-04-03,257.9177637650972
2025-04-04,256.69781033183716
2025-04-05,255.23626346796019
2025-04-06,257.4558033674357
2025-04-07,258.42645161564667
2025-04-08,256.68747522603337
2025-04-09,259.04797292846473
2025-04-10,259.89583570270014
2025-04-11,262.06040966670787
2025-04-12,263.76282967116595
2025-04-13,261.6290015384593
2025-04-14,260.2157312764919
2025-04-15,262.2123499421012
2025-04-16,263.8652586284305
2025-04-17,263.8628796351852
2025-04-18,264.2252356233114
2025-04-19,267.65399375180937
2025-04-20,266.12416010244755
2025-04-21,267.63334324504933
2025-04-22,267.14573495819366
2025-04-23,266.6176380549581
2025-04-24,269.60049447283194
2025-04-25,271.8797411300578
2025-04-26,274.1458849707104
2025-04-27,277.77963057668285
2025-04-28,277.8935308964926
2025-04-29,279.84421279365705
2025-04-30,279.0319180736664
2025-05-01,279.9922520483791
2025-05-02,279.68386002998017
2025-05-03,280.01107886095116
2025-05-04,281.733586684566
2025-05-05,279.48473092403424
2025-05-06,285.3885308175573
2025-05-07,282.57455029888956
2025-05-08,279.2000771965841
2025-05-09,282.48936366485765
2025-05-10,284.7822244441386
2025-05-11,286.6165631872252
2025-05-12,288.47482880345717
2025-05-13,288.4971949122138
2025-05-14,285.96634065823235
2025-05-15,286.2403094474828
2025-05-16,284.35924773088016
2025-05-17,287.1889627188484
2025-05-18,286.8240679428547
2025-05-19,284.5137081158488
2025-05-20,283.6562240820257
2025-05-21,284.88426109808734
2025-05-22,283.33527542342284
2025-05-23,281.06230205614185
2025-05-24,281.80342740298863
2025-05-25,282.5501122818452
2025-05-26,281.17425379308526
2025-05-27,279.90605020294197
2025-05-28,280.6115532271387
2025-05-29,276.6041835750695
2025-05-30,272.7664007295554
2025-05-31,270.86127956614155
2025-06-01,270.3373061357306
2025-06-02,271.23187273436764
2025-06-03,275.2877554056497
2025-06-04,277.7038448824642
2025-06-05,277.31523020428375
2025-06-06,277.3179584096032
2025-06-07,274.5932280348148
2025-06-08,274.59731086268977
2025-06-09,273.85958146481477
