Date,TSLA_Sentiment_1_Predicted
2024-12-12,427.77
2024-12-13,431.3849611985042
2024-12-14,430.92166905676464
2024-12-15,435.5391361138307
2024-12-16,445.9247618689773
2024-12-17,444.80446481288146
2024-12-18,443.6870918202639
2024-12-19,454.6409240342506
2024-12-20,460.32917347425564
2024-12-21,457.54781130705834
2024-12-22,461.72906652504673
2024-12-23,458.98119431086945
2024-12-24,456.23375752738355
2024-12-25,458.3458616299574
2024-12-26,445.6500462574286
2024-12-27,434.56505062594056
2024-12-28,431.3343580474024
2024-12-29,425.2126594889516
2024-12-30,427.6422013088927
2024-12-31,422.24520229274117
2025-01-01,413.7223705639973
2025-01-02,423.2316681809478
2025-01-03,422.2215646447691
2025-01-04,423.07146417302863
2025-01-05,414.4529811189138
2025-01-06,411.48311845429623
2025-01-07,412.57924316956314
2025-01-08,405.8686815267439
2025-01-09,408.5618110986432
2025-01-10,405.2894024452047
2025-01-11,403.92138606438914
2025-01-12,400.67967491821645
2025-01-13,412.21290790554184
2025-01-14,412.5416648595792
2025-01-15,406.4089591108642
2025-01-16,411.829712393222
2025-01-17,404.69984676694537
2025-01-18,406.37245258711664
2025-01-19,394.8334857221629
2025-01-20,387.3621342972733
2025-01-21,388.89334525887057
2025-01-22,393.59000968397385
2025-01-23,394.99533234545413
2025-01-24,394.7051197017427
2025-01-25,393.3171172682913
2025-01-26,384.9875142795232
2025-01-27,381.2155363069269
2025-01-28,378.96271200150585
2025-01-29,385.3508232999822
2025-01-30,387.7223779850743
2025-01-31,377.85654854025313
2025-02-01,380.07126384048456
2025-02-02,378.25595446931897
2025-02-03,374.79346376388315
2025-02-04,378.6070413526006
2025-02-05,384.8408035766752
2025-02-06,390.6015632211868
2025-02-07,386.07516963760736
2025-02-08,384.6705565003329
2025-02-09,386.9666363844265
2025-02-10,393.01615426806734
2025-02-11,390.5843221796011
2025-02-12,389.88717421842875
2025-02-13,383.80687414133376
2025-02-14,377.3039961372417
2025-02-15,382.2798387296894
2025-02-16,390.43906685943114
2025-02-17,390.40777245617664
2025-02-18,396.67498587742057
2025-02-19,399.2234403402261
2025-02-20,395.7594598625928
2025-02-21,398.30060526694626
2025-02-22,407.8879193024046
2025-02-23,408.0766120934659
2025-02-24,418.0621059385311
2025-02-25,402.0519257159009
2025-02-26,407.41068991113855
2025-02-27,408.3500591929345
2025-02-28,406.92691421319955
2025-03-01,407.89394007203373
2025-03-02,396.14107427598697
2025-03-03,395.23189948572013
2025-03-04,397.7442655847381
2025-03-05,406.95936807188946
2025-03-06,404.2026036321745
2025-03-07,399.7048779461659
2025-03-08,397.09626175614324
2025-03-09,402.9458994020467
2025-03-10,405.33587897486734
2025-03-11,402.5202525862449
2025-03-12,406.02178089114733
2025-03-13,407.0190366641011
2025-03-14,413.3399099645083
2025-03-15,409.4004514352693
2025-03-16,407.79767642567396
2025-03-17,405.80696219577675
2025-03-18,397.30420082952844
2025-03-19,399.4662524807864
2025-03-20,401.42996030228795
2025-03-21,401.8621806830451
2025-03-22,400.8499674090533
2025-03-23,392.74054763912284
2025-03-24,390.65522107039146
2025-03-25,389.03762806319486
2025-03-26,384.7449250032531
2025-03-27,384.19886204267084
2025-03-28,386.9115990956462
2025-03-29,398.2453187431773
2025-03-30,399.686436012671
2025-03-31,401.6302134151084
2025-04-01,401.5833476929678
2025-04-02,390.42673251921036
2025-04-03,390.6618833653587
2025-04-04,391.4054899574898
2025-04-05,406.25879273626566
2025-04-06,405.4928265291785
2025-04-07,407.732448618336
2025-04-08,407.9278843440874
2025-04-09,401.1847668379484
2025-04-10,408.4631981704608
2025-04-11,413.47871593875004
2025-04-12,418.79831776063713
2025-04-13,413.5043670344878
2025-04-14,422.61879500587054
2025-04-15,414.15468469685186
2025-04-16,418.2145836012231
2025-04-17,432.3740054965005
2025-04-18,426.3821471246989
2025-04-19,423.18664064392556
2025-04-20,424.24239418097477
2025-04-21,421.4627008214444
2025-04-22,412.0809615564331
2025-04-23,412.9168449667681
2025-04-24,406.75011534371095
2025-04-25,410.0463720958562
2025-04-26,404.8013198929833
2025-04-27,414.617353606356
2025-04-28,410.1607148508836
2025-04-29,408.58942084004127
2025-04-30,413.9839281912084
2025-05-01,406.7545414475839
2025-05-02,408.5491014099955
2025-05-03,416.96813047655553
2025-05-04,407.33105942072103
2025-05-05,408.8664970581552
2025-05-06,410.86922407116396
2025-05-07,416.0984976455586
2025-05-08,408.7941961563345
2025-05-09,401.1060653569143
2025-05-10,404.64748033823355
2025-05-11,406.854739314415
2025-05-12,408.79030710364333
2025-05-13,411.32346746008363
2025-05-14,407.53913903097003
2025-05-15,409.3664652466673
2025-05-16,411.5754423487447
2025-05-17,407.5768752780936
2025-05-18,419.3911503317601
2025-05-19,422.7913614885856
2025-05-20,415.65906043714784
2025-05-21,420.16825633895536
2025-05-22,414.44547012732
2025-05-23,419.75297032686757
2025-05-24,427.4675823326334
2025-05-25,422.63282361763186
2025-05-26,429.1627720468748
2025-05-27,432.2491879217038
2025-05-28,438.01145965833155
2025-05-29,450.91172706301893
2025-05-30,449.70291310226804
2025-05-31,445.0682557830389
2025-06-01,439.5749045035128
2025-06-02,434.63533348641636
2025-06-03,434.56730191214916
2025-06-04,437.2256716126324
2025-06-05,439.4775420927366
2025-06-06,445.36994655202886
2025-06-07,445.90217627694193
2025-06-08,456.0700885776761
2025-06-09,454.71562768559096
