Date,AMZN_Sentiment_1_Predicted
2024-12-12,230.26
2024-12-13,232.2058610130855
2024-12-14,231.95648015758616
2024-12-15,234.4419699407875
2024-12-16,240.03234370795224
2024-12-17,239.42931030183064
2024-12-18,238.8278508603548
2024-12-19,244.72407875289653
2024-12-20,247.78594918807332
2024-12-21,246.2887977921857
2024-12-22,248.53948350295087
2024-12-23,247.06035907618775
2024-12-24,245.58146903302097
2024-12-25,246.71837225358027
2024-12-26,239.88446981143028
2024-12-27,233.91763928543165
2024-12-28,232.17862235312177
2024-12-29,228.88343496254063
2024-12-30,230.1912085311865
2024-12-31,227.2861123499231
2025-01-01,222.69844319626444
2025-01-02,227.817107126131
2025-01-03,227.27338867873988
2025-01-04,227.73087252608084
2025-01-05,223.09171618496183
2025-01-06,221.49309875701027
2025-01-07,222.08312067752212
2025-01-08,218.4709601148937
2025-01-09,219.92061767672723
2025-01-10,218.1591458190917
2025-01-11,217.42277007547574
2025-01-12,215.67782206949653
2025-01-13,221.88592976209196
2025-01-14,222.06289302795128
2025-01-15,218.7617806879108
2025-01-16,221.67966331361083
2025-01-17,217.8417998376624
2025-01-18,218.74212995934607
2025-01-19,212.53093583557805
2025-01-20,208.50925741237148
2025-01-21,209.33347752134915
2025-01-22,211.86159765722655
2025-01-23,212.618054622494
2025-01-24,212.46183898478915
2025-01-25,211.7147051504237
2025-01-26,207.23104714683825
2025-01-27,205.20066715766174
2025-01-28,203.9880170780249
2025-01-29,207.42660909613548
2025-01-30,208.70316935466062
2025-01-31,203.39259150215923
2025-02-01,204.5847282696541
2025-02-02,203.6075836924173
2025-02-03,201.74379448365173
2025-02-04,203.7965667107319
2025-02-05,207.1520757219188
2025-02-06,210.25297694394285
2025-02-07,207.81651018247055
2025-02-08,207.06043513983357
2025-02-09,208.29636882875846
2025-02-10,211.55270281170988
2025-02-11,210.2436964375129
2025-02-12,209.8684356909913
2025-02-13,206.59553227150911
2025-02-14,203.09516364065084
2025-02-15,205.77355977721257
2025-02-16,210.16550841586027
2025-02-17,210.14866326708085
2025-02-18,213.52217838589618
2025-02-19,214.89396024204692
2025-02-20,213.02936911882685
2025-02-21,214.39721665560228
2025-02-22,219.55787525673054
2025-02-23,219.65944479659956
2025-02-24,225.03443559250556
2025-02-25,216.41647711467206
2025-02-26,219.30099225971594
2025-02-27,219.8066358785446
2025-02-28,219.04058551729025
2025-03-01,219.5611161161054
2025-03-02,213.23478449350978
2025-03-03,212.74539396306858
2025-03-04,214.09775017776312
2025-03-05,219.05805477764497
2025-03-06,217.57414384445946
2025-03-07,215.1531084365058
2025-03-08,213.74894273083544
2025-03-09,216.89768519605207
2025-03-10,218.18416320161037
2025-03-11,216.66856806346559
2025-03-12,218.55337042802327
2025-03-13,219.0901731824949
2025-03-14,222.49257233660052
2025-03-15,220.3720409273325
2025-03-16,219.5092993285541
2025-03-17,218.43773783855684
2025-03-18,213.860872157952
2025-03-19,215.02466114086025
2025-03-20,216.08168562359384
2025-03-21,216.31434117417743
2025-03-22,215.76948709729183
2025-03-23,211.40434929841817
2025-03-24,210.2818598865471
2025-03-25,209.4111420572531
2025-03-26,207.10046621139625
2025-03-27,206.80653148641863
2025-03-28,208.26674336153403
2025-03-29,214.36745703018892
2025-03-30,215.14318151407892
2025-03-31,216.18947785249733
2025-04-01,216.16425097548375
2025-04-02,210.1588690882327
2025-04-03,210.28544606612763
2025-04-04,210.68571456065533
2025-04-05,218.6809491442889
2025-04-06,218.26864491808345
2025-04-07,219.47418850984866
2025-04-08,219.57938763604153
2025-04-09,215.94970290601478
2025-04-10,219.86753631795182
2025-04-11,222.56728880486367
2025-04-12,225.4307236308396
2025-04-13,222.58109627454266
2025-04-14,227.48720980445495
2025-04-15,222.93114921171903
2025-04-16,225.11651125608992
2025-04-17,232.73824369550027
2025-04-18,229.5129466697831
2025-04-19,227.7928697072498
2025-04-20,228.3611606333104
2025-04-21,226.86490752307483
2025-04-22,221.8149056922744
2025-04-23,222.2648449448254
2025-04-24,218.94541823653557
2025-04-25,220.71972704675827
2025-04-26,217.89642078350113
2025-04-27,223.18019459382253
2025-04-28,220.78127545541855
2025-04-29,219.93547944602903
2025-04-30,222.83923441407202
2025-05-01,218.94780071935995
2025-05-02,219.91377630657948
2025-05-03,224.44557057187652
2025-05-04,219.2581287659611
2025-05-05,220.08462400965652
2025-05-06,221.16265173954736
2025-05-07,223.97746468398037
2025-05-08,220.04570588624156
2025-05-09,215.9073394793535
2025-05-10,217.81361204077336
2025-05-11,219.00173521877915
2025-05-12,220.0436124872826
2025-05-13,221.40716183313185
2025-05-14,219.37013384124907
2025-05-15,220.35374684456033
2025-05-16,221.5427948552304
2025-05-17,219.39044650521026
2025-05-18,225.7498334978868
2025-05-19,227.58009887640947
2025-05-20,223.740924460008
2025-05-21,226.16813405476734
2025-05-22,223.08767316903163
2025-05-23,225.94459393474176
2025-05-24,230.09721464317772
2025-05-25,227.49476112442636
2025-05-26,231.00970122148198
2025-05-27,232.67105690172633
2025-05-28,235.77277205256885
2025-05-29,242.71672691757416
2025-05-30,242.06604663938145
2025-05-31,239.5713036832936
2025-06-01,236.61434301371955
2025-06-02,233.9554711377193
2025-06-03,233.9188511075845
2025-06-04,235.34979812872498
2025-06-05,236.56193478334964
2025-06-06,239.73369776531808
2025-06-07,240.0201863373509
2025-06-08,245.49336932439311
2025-06-09,244.76429022812286
